,0
0,abs
1,absolute
2,absolute_import
3,add
4,add_docstring
5,add_newdoc
6,add_newdoc_ufunc
7,alen
8,all
9,allclose
10,alltrue
11,amax
12,amin
13,angle
14,any
15,append
16,apply_along_axis
17,apply_over_axes
18,arange
19,arccos
20,arccosh
21,arcsin
22,arcsinh
23,arctan
24,arctan2
25,arctanh
26,argmax
27,argmin
28,argpartition
29,argsort
30,argwhere
31,around
32,array
33,array2string
34,array_equal
35,array_equiv
36,array_repr
37,array_split
38,array_str
39,asanyarray
40,asarray
41,asarray_chkfinite
42,ascontiguousarray
43,asfarray
44,asfortranarray
45,asmatrix
46,asscalar
47,atleast_1d
48,atleast_2d
49,atleast_3d
50,average
51,bartlett
52,base_repr
53,binary_repr
54,bincount
55,bitwise_and
56,bitwise_not
57,bitwise_or
58,bitwise_xor
59,blackman
60,block
61,bmat
62,bool
63,bool8
64,bool_
65,broadcast
66,broadcast_arrays
67,broadcast_to
68,busday_count
69,busday_offset
70,busdaycalendar
71,byte
72,byte_bounds
73,bytes0
74,bytes_
75,c_
76,can_cast
77,cast
78,cbrt
79,cdouble
80,ceil
81,cfloat
82,char
83,character
84,chararray
85,choose
86,clip
87,clongdouble
88,clongfloat
89,column_stack
90,common_type
91,compare_chararrays
92,compat
93,complex
94,complex128
95,complex256
96,complex64
97,complex_
98,complexfloating
99,compress
100,concatenate
101,conj
102,conjugate
103,convolve
104,copy
105,copysign
106,copyto
107,core
108,corrcoef
109,correlate
110,cos
111,cosh
112,count_nonzero
113,cov
114,cross
115,csingle
116,ctypeslib
117,cumprod
118,cumproduct
119,cumsum
120,datetime64
121,datetime_as_string
122,datetime_data
123,deg2rad
124,degrees
125,delete
126,deprecate
127,deprecate_with_doc
128,diag
129,diag_indices
130,diag_indices_from
131,diagflat
132,diagonal
133,diff
134,digitize
135,disp
136,divide
137,division
138,divmod
139,dot
140,double
141,dsplit
142,dstack
143,dtype
144,e
145,ediff1d
146,einsum
147,einsum_path
148,emath
149,empty
150,empty_like
151,equal
152,errstate
153,euler_gamma
154,exp
155,exp2
156,expand_dims
157,expm1
158,extract
159,eye
160,fabs
161,fft
162,fill_diagonal
163,find_common_type
164,finfo
165,fix
166,flatiter
167,flatnonzero
168,flexible
169,flip
170,fliplr
171,flipud
172,float
173,float128
174,float16
175,float32
176,float64
177,float_
178,float_power
179,floating
180,floor
181,floor_divide
182,fmax
183,fmin
184,fmod
185,format_float_positional
186,format_float_scientific
187,format_parser
188,frexp
189,frombuffer
190,fromfile
191,fromfunction
192,fromiter
193,frompyfunc
194,fromregex
195,fromstring
196,full
197,full_like
198,fv
199,gcd
200,generic
201,genfromtxt
202,geomspace
203,get_array_wrap
204,get_include
205,get_printoptions
206,getbufsize
207,geterr
208,geterrcall
209,geterrobj
210,gradient
211,greater
212,greater_equal
213,half
214,hamming
215,hanning
216,heaviside
217,histogram
218,histogram2d
219,histogram_bin_edges
220,histogramdd
221,hsplit
222,hstack
223,hypot
224,i0
225,identity
226,iinfo
227,imag
228,in1d
229,index_exp
230,indices
231,inexact
232,inf
233,info
234,infty
235,inner
236,insert
237,int
238,int0
239,int16
240,int32
241,int64
242,int8
243,int_
244,int_asbuffer
245,intc
246,integer
247,interp
248,intersect1d
249,intp
250,invert
251,ipmt
252,irr
253,is_busday
254,isclose
255,iscomplex
256,iscomplexobj
257,isfinite
258,isfortran
259,isin
260,isinf
261,isnan
262,isnat
263,isneginf
264,isposinf
265,isreal
266,isrealobj
267,isscalar
268,issctype
269,issubclass_
270,issubdtype
271,issubsctype
272,iterable
273,ix_
274,kaiser
275,kron
276,lcm
277,ldexp
278,left_shift
279,less
280,less_equal
281,lexsort
282,lib
283,linalg
284,linspace
285,little_endian
286,load
287,loads
288,loadtxt
289,log
290,log10
291,log1p
292,log2
293,logaddexp
294,logaddexp2
295,logical_and
296,logical_not
297,logical_or
298,logical_xor
299,logspace
300,long
301,longcomplex
302,longdouble
303,longfloat
304,longlong
305,lookfor
306,ma
307,mafromtxt
308,mask_indices
309,mat
310,math
311,matmul
312,matrix
313,matrixlib
314,max
315,maximum
316,maximum_sctype
317,may_share_memory
318,mean
319,median
320,memmap
321,meshgrid
322,mgrid
323,min
324,min_scalar_type
325,minimum
326,mintypecode
327,mirr
328,mod
329,modf
330,moveaxis
331,msort
332,multiply
333,nan
334,nan_to_num
335,nanargmax
336,nanargmin
337,nancumprod
338,nancumsum
339,nanmax
340,nanmean
341,nanmedian
342,nanmin
343,nanpercentile
344,nanprod
345,nanquantile
346,nanstd
347,nansum
348,nanvar
349,nbytes
350,ndarray
351,ndenumerate
352,ndfromtxt
353,ndim
354,ndindex
355,nditer
356,negative
357,nested_iters
358,newaxis
359,nextafter
360,nonzero
361,not_equal
362,nper
363,npv
364,numarray
365,number
366,obj2sctype
367,object
368,object0
369,object_
370,ogrid
371,oldnumeric
372,ones
373,ones_like
374,outer
375,packbits
376,pad
377,partition
378,percentile
379,pi
380,piecewise
381,place
382,pmt
383,poly
384,poly1d
385,polyadd
386,polyder
387,polydiv
388,polyfit
389,polyint
390,polymul
391,polynomial
392,polysub
393,polyval
394,positive
395,power
396,ppmt
397,print_function
398,printoptions
399,prod
400,product
401,promote_types
402,ptp
403,put
404,put_along_axis
405,putmask
406,pv
407,quantile
408,r_
409,rad2deg
410,radians
411,random
412,rank
413,rate
414,ravel
415,ravel_multi_index
416,real
417,real_if_close
418,rec
419,recarray
420,recfromcsv
421,recfromtxt
422,reciprocal
423,record
424,remainder
425,repeat
426,require
427,reshape
428,resize
429,result_type
430,right_shift
431,rint
432,roll
433,rollaxis
434,roots
435,rot90
436,round
437,round_
438,row_stack
439,s_
440,safe_eval
441,save
442,savetxt
443,savez
444,savez_compressed
445,sctype2char
446,sctypes
447,searchsorted
448,select
449,set_numeric_ops
450,set_printoptions
451,set_string_function
452,setbufsize
453,setdiff1d
454,seterr
455,seterrcall
456,seterrobj
457,setxor1d
458,shape
459,shares_memory
460,short
461,show_config
462,sign
463,signbit
464,signedinteger
465,sin
466,sinc
467,single
468,singlecomplex
469,sinh
470,size
471,sometrue
472,sort
473,sort_complex
474,source
475,spacing
476,split
477,sqrt
478,square
479,squeeze
480,stack
481,std
482,str
483,str0
484,str_
485,string_
486,subtract
487,sum
488,swapaxes
489,sys
490,take
491,take_along_axis
492,tan
493,tanh
494,tensordot
495,test
496,testing
497,tile
498,timedelta64
499,trace
500,tracemalloc_domain
501,transpose
502,trapz
503,tri
504,tril
505,tril_indices
506,tril_indices_from
507,trim_zeros
508,triu
509,triu_indices
510,triu_indices_from
511,true_divide
512,trunc
513,typecodes
514,typename
515,ubyte
516,ufunc
517,uint
518,uint0
519,uint16
520,uint32
521,uint64
522,uint8
523,uintc
524,uintp
525,ulonglong
526,unicode
527,unicode_
528,union1d
529,unique
530,unpackbits
531,unravel_index
532,unsignedinteger
533,unwrap
534,ushort
535,vander
536,var
537,vdot
538,vectorize
539,version
540,void
541,void0
542,vsplit
543,vstack
544,warnings
545,where
546,who
547,zeros
548,zeros_like
